CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0107,0.9968,C0137,0.9961,C0184,0.9961
C0002,C0088,0.9982,C0142,0.9943,C0159,0.9895
C0003,C0147,0.998,C0190,0.9973,C0174,0.9838
C0004,C0113,0.9945,C0102,0.9804,C0169,0.9791
C0005,C0186,0.9984,C0159,0.998,C0140,0.9934
C0006,C0048,0.9941,C0126,0.992,C0187,0.9912
C0007,C0146,1.0,C0177,0.9975,C0178,0.9974
C0008,C0018,0.9848,C0122,0.9639,C0046,0.9577
C0009,C0198,1.0,C0014,0.9965,C0063,0.9939
C0010,C0019,0.9911,C0073,0.9857,C0166,0.9836
C0011,C0107,0.9956,C0048,0.9955,C0001,0.9898
C0012,C0148,0.9961,C0163,0.9939,C0155,0.9899
C0013,C0163,0.9966,C0148,0.9944,C0155,0.9919
C0014,C0060,0.9994,C0009,0.9965,C0198,0.9961
C0015,C0020,0.9986,C0058,0.9894,C0033,0.9882
C0016,C0154,0.9963,C0185,0.9909,C0183,0.9887
C0017,C0124,0.9891,C0053,0.9738,C0041,0.9699
C0018,C0122,0.9955,C0046,0.9854,C0008,0.9848
C0019,C0166,0.9986,C0172,0.9972,C0073,0.997
C0020,C0015,0.9986,C0058,0.9956,C0033,0.9939
